10007813,3.26
10052988,6.02
10279068,3.22
10546696,4.7
10406659,3.34
10358363,3.09
10235252,4.58
10104459,4.27
10067441,4.98
10304715,0.94
10060836,4.0
10111658,4.52
10494120,1.16
10291415,6.48
10398168,3.25
10179133,2.65
10244944,6.61
10193033,3.66
10546884,1.13
10028644,1.79
10580725,1.01
10561107,5.39
10148030,4.6
10311935,2.07
10302769,3.22
10539764,4.91
10138201,5.46
10024922,5.18
10571838,2.3
10598728,5.64
10520641,1.11
10017855,2.46
10216427,3.61
10241443,6.73
10478659,2.8
10520737,2.59
10073571,0.44
10180838,2.51
10209630,5.83
10195693,0.95
10327896,6.91
10451093,6.73
10230008,4.78
10191389,3.04
10119903,3.56
10060183,3.44
10469941,0.33
10323305,3.49
10030162,2.14
10130178,0.41
10370029,2.35
10007598,0.19
10388801,5.3
10564913,1.47
10471795,3.42
10194918,0.4
10583229,5.85
10436508,4.14
10023235,0.58
10506582,5.02
10345208,4.22
10550995,5.27
10385614,4.98
10151431,1.49
10031116,6.76
10469849,2.12
10220320,0.92
10172373,5.61
10514172,6.81
10202866,2.37
10562917,1.61
10301673,6.74
10370048,5.76
10520109,0.11
10268841,3.85
10533630,6.18
10399936,4.56
10338448,1.43
10028215,5.17
10020450,4.48
10243875,4.06
10433533,6.64
10218792,2.97
10178439,0.31
10509969,6.35
10042367,5.55
10013997,3.83
10011258,5.61
10476683,6.8
10573957,5.15
10577023,1.89
10291298,3.66
10370011,4.33
10116943,4.71
10168457,0.74
10302986,4.54
10424392,1.67
10178204,3.77
10126013,0.83
10098183,6.55
10529200,0.47
10488072,4.85
10159341,3.86
10117671,6.58
10094197,2.63
10486896,0.53
10169960,4.06
10166845,4.88
10045002,0.85
10466458,4.9
10284940,6.08
10461695,2.79
10281693,0.94
10506371,0.73
10532847,1.16
10588309,2.97
10262537,0.71
10281359,3.23
10206547,2.96
10182653,0.68
10165967,5.99
10281729,6.61
10014005,2.28
10421230,2.17
10041201,1.23
10266217,5.25
10332877,1.48
10233166,4.4
10503622,5.24
10433954,3.84
10168842,1.87
10165349,0.18
10051037,1.91
10260610,4.13
